k,recall@k,hit@k,mrr@k,precision@k,ndcg@k,level_consistency,avg_retrieved_count
5,0.16640522875816993,0.3333333333333333,0.11444444444444445,0.07333333333333332,0.8434808657328288,0.9666666666666667,4.833333333333333
10,0.23228758169934638,0.43333333333333335,0.11428571428571431,0.07666666666666669,0.7705252323364993,1.0,10.0
20,0.3101213818860878,0.5333333333333333,0.10316027926322045,0.055000000000000014,0.6902266138274846,1.0,20.0
30,0.3229154995331466,0.5333333333333333,0.08858709125013471,0.04000000000000001,0.6800811290674751,1.0,30.0
50,0.33905929038281984,0.6,0.054582025663547404,0.026666666666666675,0.6033654943596416,1.0,50.0
70,0.3610434173669468,0.5666666666666667,0.049791031644175594,0.020476190476190474,0.6252161521165008,1.0,70.0
80,0.3627100840336135,0.5666666666666667,0.04573745984113971,0.018333333333333333,0.6208974688909469,1.0,80.0
100,0.3977100840336135,0.6,0.03973515908656329,0.01533333333333334,0.5851864912105721,1.0,100.0
