k,recall@k,hit@k,mrr@k,precision@k,ndcg@k,level_consistency,avg_retrieved_count
5,0.5581699346405228,0.6333333333333333,0.20311586561586564,0.09069231353107933,0.50296619461332,0.9666666666666667,24.833333333333332
10,0.7195985060690943,0.8,0.13002703210488564,0.06385826066390066,0.3090173197609135,1.0,44.8
20,0.7622175536881419,0.8333333333333334,0.09175869355406574,0.04379259726201465,0.2877255270426088,1.0,79.16666666666667
30,0.7678057889822597,0.8333333333333334,0.08578612785678384,0.032914131083925005,0.29480087486556095,1.0,109.23333333333333
50,0.7917273576097107,0.8333333333333334,0.05100320441649207,0.0235967986982945,0.3178909971628599,1.0,163.73333333333332
70,0.8282352941176471,0.8666666666666667,0.04404977950205583,0.018685983207658522,0.3169845731790636,1.0,212.56666666666666
80,0.8349019607843137,0.8666666666666667,0.038320272287130336,0.01704473779197717,0.30855736886308904,1.0,237.33333333333334
100,0.8349019607843137,0.8666666666666667,0.0360916856978682,0.014035095705880036,0.30408946047894864,1.0,280.7
